"","date","year","month","day","births","dow","holiday","majorholiday"
"1",1969-01-01,1969,1,1,8486,3,"New Year’s Day",TRUE
"2",1969-01-02,1969,1,2,9002,4,NA,FALSE
"3",1969-01-03,1969,1,3,9542,5,"US Congressional Start Day",FALSE
"4",1969-01-04,1969,1,4,8960,6,NA,FALSE
"5",1969-01-05,1969,1,5,8390,0,NA,FALSE
"6",1969-01-06,1969,1,6,9560,1,NA,FALSE
"7",1969-01-07,1969,1,7,9738,2,NA,FALSE
"8",1969-01-08,1969,1,8,9734,3,NA,FALSE
"9",1969-01-09,1969,1,9,9434,4,NA,FALSE
"10",1969-01-10,1969,1,10,10042,5,NA,FALSE
"11",1969-01-11,1969,1,11,9178,6,NA,FALSE
"12",1969-01-12,1969,1,12,8450,0,NA,FALSE
"13",1969-01-13,1969,1,13,9834,1,NA,FALSE
"14",1969-01-14,1969,1,14,10366,2,NA,FALSE
"15",1969-01-15,1969,1,15,9894,3,NA,FALSE
"16",1969-01-16,1969,1,16,9662,4,NA,FALSE
"17",1969-01-17,1969,1,17,9974,5,NA,FALSE
"18",1969-01-18,1969,1,18,9312,6,NA,FALSE
"19",1969-01-19,1969,1,19,8622,0,NA,FALSE
"20",1969-01-20,1969,1,20,9808,1,"US Presidential Inauguration Day",FALSE
"21",1969-01-21,1969,1,21,10474,2,NA,FALSE
"22",1969-01-22,1969,1,22,9884,3,NA,FALSE
"23",1969-01-23,1969,1,23,9454,4,NA,FALSE
"24",1969-01-24,1969,1,24,9798,5,NA,FALSE
"25",1969-01-25,1969,1,25,9022,6,"Robbie Burns Day aka Burns Nicht",FALSE
"26",1969-01-26,1969,1,26,8568,0,"Australia Day",FALSE
"27",1969-01-27,1969,1,27,9910,1,NA,FALSE
"28",1969-01-28,1969,1,28,10032,2,NA,FALSE
"29",1969-01-29,1969,1,29,9380,3,NA,FALSE
"30",1969-01-30,1969,1,30,9674,4,NA,FALSE
"31",1969-01-31,1969,1,31,9692,5,NA,FALSE
"32",1969-02-01,1969,2,1,9130,6,NA,FALSE
