holiday,date,firstobs,firstproc
New Year’s Day,1900-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1900-01-25,1759,1759
Australia Day,1900-01-26,1804,1804
Groundhog Day,1900-02-02,1841,1841
Lincoln’s Birthday,1900-02-12,1809,1809
Valentine’s Day,1900-02-14,200,200
Alberta Family Day,1900-02-19,1900,1900
Washington’s Birthday,1900-02-19,1796,1796
Mardi Gras,1900-02-27,1583,1583
Ash Wednesday,1900-02-28,1583,1583
St. Patrick’s day,1900-03-17,400,400
Vernal Equinox,1900-03-21,-10000,-10000
April Fools’ Day,1900-04-01,1564,1564
Palm Sunday,1900-04-08,1583,1583
Good Friday,1900-04-13,1583,1583
Easter Sunday,1900-04-15,30,30
Easter Monday,1900-04-16,1583,1583
Cinco de Mayo,1900-05-05,1809,1809
Victoria Day,1900-05-24,1837,1845
Memorial Day,1900-05-28,1868,1868
Summer Solstice,1900-06-21,-10000,-10000
St. Jean-Baptiste Day,1900-06-24,1638,1638
Canada Day,1900-07-02,1867,1867
Independence Day,1900-07-04,1776,1776
Utah Pioneer Day,1900-07-24,1847,1847
Canadian Labour Day,1900-09-03,1884,1884
American Labor Day,1900-09-03,1882,1882
Autumnal Equinox,1900-09-23,-10000,-10000
Canadian Thanksgiving,1900-10-08,1700,1700
Creationism Day,1900-10-23,-4004,-4004
Halloween,1900-10-31,-2000,-2000
General Election Day,1900-11-06,1789,1789
American Thanksgiving,1900-11-29,1621,1621
St. Andrews Day,1900-11-30,732,732
Winter Solstice,1900-12-22,-10000,-10000
Christmas Eve,1900-12-24,1,1
Christmas in UK and Canada,1900-12-25,1,1
Christmas in the USA,1900-12-25,1,1
Boxing Day in UK and Canada,1900-12-26,1,1
New Year’s Eve,1900-12-31,-154,-154
New Year’s Day,1901-01-01,-153,-153
US Congressional Start Day,1901-01-03,1789,1789
Robbie Burns Day aka Burns Nicht,1901-01-25,1759,1759
Australia Day,1901-01-26,1804,1804
Groundhog Day,1901-02-02,1841,1841
Lincoln’s Birthday,1901-02-12,1809,1809
Valentine’s Day,1901-02-14,200,200
Alberta Family Day,1901-02-18,1900,1900
Washington’s Birthday,1901-02-18,1796,1796
Mardi Gras,1901-02-19,1583,1583
Ash Wednesday,1901-02-20,1583,1583
US Presidential Inauguration Day,1901-03-04,1789,1789
St. Patrick’s day,1901-03-17,400,400
Vernal Equinox,1901-03-21,-10000,-10000
Palm Sunday,1901-03-31,1583,1583
April Fools’ Day,1901-04-01,1564,1564
Good Friday,1901-04-05,1583,1583
Easter Sunday,1901-04-07,30,30
Easter Monday,1901-04-08,1583,1583
Cinco de Mayo,1901-05-05,1809,1809
Victoria Day,1901-05-24,1837,1845
Memorial Day,1901-05-27,1868,1868
Summer Solstice,1901-06-22,-10000,-10000
St. Jean-Baptiste Day,1901-06-24,1638,1638
Canada Day,1901-07-01,1867,1867
Independence Day,1901-07-04,1776,1776
Utah Pioneer Day,1901-07-24,1847,1847
Canadian Labour Day,1901-09-02,1884,1884
American Labor Day,1901-09-02,1882,1882
Autumnal Equinox,1901-09-23,-10000,-10000
Canadian Thanksgiving,1901-10-14,1700,1700
Creationism Day,1901-10-23,-4004,-4004
Halloween,1901-10-31,-2000,-2000
American Thanksgiving,1901-11-28,1621,1621
St. Andrews Day,1901-11-30,732,732
Winter Solstice,1901-12-22,-10000,-10000
Christmas Eve,1901-12-24,1,1
Christmas in UK and Canada,1901-12-25,1,1
Christmas in the USA,1901-12-25,1,1
Boxing Day in UK and Canada,1901-12-26,1,1
New Year’s Eve,1901-12-31,-154,-154
New Year’s Day,1902-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1902-01-25,1759,1759
Australia Day,1902-01-26,1804,1804
Groundhog Day,1902-02-02,1841,1841
Mardi Gras,1902-02-11,1583,1583
Ash Wednesday,1902-02-12,1583,1583
Lincoln’s Birthday,1902-02-12,1809,1809
Valentine’s Day,1902-02-14,200,200
Alberta Family Day,1902-02-17,1900,1900
Washington’s Birthday,1902-02-17,1796,1796
St. Patrick’s day,1902-03-17,400,400
Vernal Equinox,1902-03-21,-10000,-10000
Palm Sunday,1902-03-23,1583,1583
Good Friday,1902-03-28,1583,1583
Easter Sunday,1902-03-30,30,30
Easter Monday,1902-03-31,1583,1583
April Fools’ Day,1902-04-01,1564,1564
Cinco de Mayo,1902-05-05,1809,1809
Victoria Day,1902-05-24,1837,1845
Memorial Day,1902-05-26,1868,1868
Summer Solstice,1902-06-22,-10000,-10000
St. Jean-Baptiste Day,1902-06-24,1638,1638
Canada Day,1902-07-01,1867,1867
Independence Day,1902-07-04,1776,1776
Utah Pioneer Day,1902-07-24,1847,1847
Canadian Labour Day,1902-09-01,1884,1884
American Labor Day,1902-09-01,1882,1882
Autumnal Equinox,1902-09-23,-10000,-10000
Canadian Thanksgiving,1902-10-13,1700,1700
Creationism Day,1902-10-23,-4004,-4004
Halloween,1902-10-31,-2000,-2000
General Election Day,1902-11-04,1789,1789
American Thanksgiving,1902-11-27,1621,1621
St. Andrews Day,1902-11-30,732,732
Winter Solstice,1902-12-22,-10000,-10000
Christmas Eve,1902-12-24,1,1
Christmas in UK and Canada,1902-12-25,1,1
Christmas in the USA,1902-12-25,1,1
Boxing Day in UK and Canada,1902-12-26,1,1
New Year’s Eve,1902-12-31,-154,-154
New Year’s Day,1903-01-01,-153,-153
US Congressional Start Day,1903-01-03,1789,1789
Robbie Burns Day aka Burns Nicht,1903-01-25,1759,1759
Australia Day,1903-01-26,1804,1804
Groundhog Day,1903-02-02,1841,1841
Lincoln’s Birthday,1903-02-12,1809,1809
Valentine’s Day,1903-02-14,200,200
Alberta Family Day,1903-02-16,1900,1900
Washington’s Birthday,1903-02-16,1796,1796
Mardi Gras,1903-02-24,1583,1583
Ash Wednesday,1903-02-25,1583,1583
St. Patrick’s day,1903-03-17,400,400
Vernal Equinox,1903-03-21,-10000,-10000
April Fools’ Day,1903-04-01,1564,1564
Palm Sunday,1903-04-05,1583,1583
Good Friday,1903-04-10,1583,1583
Easter Sunday,1903-04-12,30,30
Easter Monday,1903-04-13,1583,1583
Cinco de Mayo,1903-05-05,1809,1809
Victoria Day,1903-05-25,1837,1845
Memorial Day,1903-05-25,1868,1868
Summer Solstice,1903-06-22,-10000,-10000
St. Jean-Baptiste Day,1903-06-24,1638,1638
Canada Day,1903-07-01,1867,1867
Independence Day,1903-07-04,1776,1776
Utah Pioneer Day,1903-07-24,1847,1847
Canadian Labour Day,1903-09-07,1884,1884
American Labor Day,1903-09-07,1882,1882
Autumnal Equinox,1903-09-24,-10000,-10000
Canadian Thanksgiving,1903-10-12,1700,1700
Creationism Day,1903-10-23,-4004,-4004
Halloween,1903-10-31,-2000,-2000
American Thanksgiving,1903-11-26,1621,1621
St. Andrews Day,1903-11-30,732,732
Winter Solstice,1903-12-23,-10000,-10000
Christmas Eve,1903-12-24,1,1
Christmas in UK and Canada,1903-12-25,1,1
Christmas in the USA,1903-12-25,1,1
Boxing Day in UK and Canada,1903-12-26,1,1
New Year’s Eve,1903-12-31,-154,-154
New Year’s Day,1904-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1904-01-25,1759,1759
Australia Day,1904-01-26,1804,1804
Groundhog Day,1904-02-02,1841,1841
Lincoln’s Birthday,1904-02-12,1809,1809
Valentine’s Day,1904-02-14,200,200
Alberta Family Day,1904-02-15,1900,1900
Washington’s Birthday,1904-02-15,1796,1796
Mardi Gras,1904-02-16,1583,1583
Ash Wednesday,1904-02-17,1583,1583
St. Patrick’s day,1904-03-17,400,400
Vernal Equinox,1904-03-21,-10000,-10000
Palm Sunday,1904-03-27,1583,1583
Good Friday,1904-04-01,1583,1583
April Fools’ Day,1904-04-01,1564,1564
Easter Sunday,1904-04-03,30,30
Easter Monday,1904-04-04,1583,1583
Cinco de Mayo,1904-05-05,1809,1809
Victoria Day,1904-05-24,1837,1845
Memorial Day,1904-05-30,1868,1868
Summer Solstice,1904-06-21,-10000,-10000
St. Jean-Baptiste Day,1904-06-24,1638,1638
Canada Day,1904-07-01,1867,1867
Independence Day,1904-07-04,1776,1776
Utah Pioneer Day,1904-07-24,1847,1847
Canadian Labour Day,1904-09-05,1884,1884
American Labor Day,1904-09-05,1882,1882
Autumnal Equinox,1904-09-23,-10000,-10000
Canadian Thanksgiving,1904-10-10,1700,1700
Creationism Day,1904-10-23,-4004,-4004
Halloween,1904-10-31,-2000,-2000
General Election Day,1904-11-08,1789,1789
American Thanksgiving,1904-11-24,1621,1621
St. Andrews Day,1904-11-30,732,732
Winter Solstice,1904-12-22,-10000,-10000
Christmas Eve,1904-12-24,1,1
Christmas in UK and Canada,1904-12-25,1,1
Christmas in the USA,1904-12-25,1,1
Boxing Day in UK and Canada,1904-12-26,1,1
New Year’s Eve,1904-12-31,-154,-154
New Year’s Day,1905-01-01,-153,-153
US Congressional Start Day,1905-01-03,1789,1789
Robbie Burns Day aka Burns Nicht,1905-01-25,1759,1759
Australia Day,1905-01-26,1804,1804
Groundhog Day,1905-02-02,1841,1841
Lincoln’s Birthday,1905-02-12,1809,1809
Valentine’s Day,1905-02-14,200,200
Alberta Family Day,1905-02-20,1900,1900
Washington’s Birthday,1905-02-20,1796,1796
US Presidential Inauguration Day,1905-03-04,1789,1789
Mardi Gras,1905-03-07,1583,1583
Ash Wednesday,1905-03-08,1583,1583
St. Patrick’s day,1905-03-17,400,400
Vernal Equinox,1905-03-21,-10000,-10000
April Fools’ Day,1905-04-01,1564,1564
Palm Sunday,1905-04-16,1583,1583
Good Friday,1905-04-21,1583,1583
Easter Sunday,1905-04-23,30,30
Easter Monday,1905-04-24,1583,1583
Cinco de Mayo,1905-05-05,1809,1809
Victoria Day,1905-05-24,1837,1845
Memorial Day,1905-05-29,1868,1868
Summer Solstice,1905-06-22,-10000,-10000
St. Jean-Baptiste Day,1905-06-24,1638,1638
Canada Day,1905-07-01,1867,1867
Independence Day,1905-07-04,1776,1776
Utah Pioneer Day,1905-07-24,1847,1847
Canadian Labour Day,1905-09-04,1884,1884
American Labor Day,1905-09-04,1882,1882
Autumnal Equinox,1905-09-23,-10000,-10000
Canadian Thanksgiving,1905-10-09,1700,1700
Columbus Day,1905-10-12,1905,1905
Creationism Day,1905-10-23,-4004,-4004
Halloween,1905-10-31,-2000,-2000
American Thanksgiving,1905-11-30,1621,1621
St. Andrews Day,1905-11-30,732,732
Winter Solstice,1905-12-22,-10000,-10000
Christmas Eve,1905-12-24,1,1
Christmas in UK and Canada,1905-12-25,1,1
Christmas in the USA,1905-12-25,1,1
Boxing Day in UK and Canada,1905-12-26,1,1
New Year’s Eve,1905-12-31,-154,-154
New Year’s Day,1906-01-01,-153,-153
